brand,breadcrumbs,color,express_available,image_url,manufacturer,manufacturer_part_no,material,number_of_gangs,overall_height,overall_width,price,sku,title,type,unit_of_meassurement,unspsc_code,url
,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/298/306/0767739.jpg,CORTECH,TPDBB,Nylon,2,"5.50""","5.50""",26.85,0767739,White Polycarbonate/Nylon Tiger Plates High Security 2-Gang Blank Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0767739
,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/223/361/0767732.jpg,CORTECH,TPDR,Nylon,1,"5.50""","3.50""",40.27,0767732,White Polycarbonate/Nylon Tiger Plates High Security 1-Gang Duplex Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0767732
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Brown,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/063/$v2/922570224_primary_eng.jpg,HUBBELL,PJ1,Polycarbonate,1,"4.94""","3.15""",38.25,922570395,Wallplate Mid-Size 1-Gang Toggle Brown,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570395
WIRING DEVICE-KELLEMS,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img3.fastenal.com/infp360pmm/derivates/3/279/711/99402470_primary_eng.jpg,HUBBELL,SWP126,Steel,2,"5.50""","5.50""",139.05,99402470,"5-1/2""Hx5-1/2""W Steel/White 2-Gang 1-Toggle 1-Decorator Security Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/99402470
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/766/958/$v2/922570360_primary_eng.jpg,HUBBELL,PJ13GY,Polycarbonate,1,"4.94""","3.15""",55.75,922570327,Wallplate Mid-Size 1-Gang Box Mount Blank Gray,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570327
,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/249/053/0767733.jpg,CORTECH,TPGF,Nylon,1,"5.50""","3.50""",23.37,0767733,White Polycarbonate/Nylon Tiger Plates High Security 1-Gang GFI Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0767733
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/767/075/$v2/922570161_primary_eng.jpg,HUBBELL,P703W,Polycarbonate,2,"4.63""","4.69""",189.50,922570161,"Wallplate 2-Gang 2.15"" Opening Brown",Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570161
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/028/$v2/922570100_primary_eng.jpg,HUBBELL,PJ26GY,Polycarbonate,1,"4.94""","3.15""",83.50,922570150,Wallplate Mid-Size 1-Gang 1) Decorator Gray,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570150
WIRING DEVICE-KELLEMS,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/143/273/0745229.jpg,HUBBELL,SWP23,Steel,2,"5.50""","5.50""",101.76,0745229,"5-1/2""Hx5-1/2""W Steel/White 2-Gang 2-Blank Security Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745229
WIRING DEVICE-KELLEMS,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Yellow,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/102/009/0737478.jpg,HUBBELL,HBLP8FSY,Valox&reg;,2,"4.82""","3.18""",21.30,0737483,Yellow Non-Metallic FS Duplex Cover Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0737483
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Red,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/767/091/$v2/922570178_primary_eng.jpg,HUBBELL,P7R,Polycarbonate,1,"4.63""","2.88""",42.50,922570178,"Wallplate 1-Gang 1.40"" Opening Red",Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570178
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Black,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/767/071/$v2/922570167_primary_eng.jpg,HUBBELL,PJ13BK,Polycarbonate,1,"4.94""","3.15""",55.75,922570421,Wallplate Mid-Size 1-Gang Box Mount Blank Black,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570421
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/341/774/0728887.jpg,HUBBELL,890,Steel,,"4.50""","4.50""",242.00,0728887,"4.50"" W Gray Steel Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0728887
WIRING DEVICE-KELLEMS,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/109/795/0735918.jpg,HUBBELL,HBL4API,Polycarbonate,2,"4.75""","4.75""",15.89,0735918,4-PLEX Ivory Accessory Adapter Plate,Adapter Plate,each,39121704,https://www.fastenal.com/product/details/0735918
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Brown,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/767/061/$v2/922570227_primary_eng.jpg,HUBBELL,PJ26,Polycarbonate,1,"4.94""","3.15""",83.50,922570101,Wallplate Mid-Size 1-Gang 1) Decorator Brown,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570101
