2026-01-28 03:49:37,677 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/products/clothing/view-all.html is 200
2026-01-28 03:49:38,646 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:38,646 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:38,646 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:38,646 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/textiles/view-all.html
2026-01-28 03:49:38,755 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/textiles/view-all.html is 403
2026-01-28 03:49:38,756 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:49:38,756 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:49:38,756 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:51:59,802 | INFO | handm_scraper | fetched data successfully from mongoDB
2026-01-28 03:51:59,809 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/view-all.html
2026-01-28 03:52:00,886 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/view-all.html is 200
2026-01-28 03:52:02,007 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:02,007 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:02,008 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:02,008 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html
2026-01-28 03:52:03,330 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html is 200
2026-01-28 03:52:04,078 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:04,079 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:04,079 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:04,079 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/clothing/view-all.html
2026-01-28 03:52:05,633 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/clothing/view-all.html is 200
2026-01-28 03:52:06,417 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:06,417 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:06,418 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:06,418 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html
2026-01-28 03:52:07,450 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html is 200
2026-01-28 03:52:49,004 | INFO | handm_scraper | fetched data successfully from mongoDB
2026-01-28 03:52:49,006 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/view-all.html
2026-01-28 03:52:49,950 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/view-all.html is 200
2026-01-28 03:52:51,199 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
