2026-02-17 00:54:13,144 | INFO | academy_scraper | found category Men's Fishing Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing Shorts
2026-02-17 00:54:13,144 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-shorts-
2026-02-17 00:54:13,718 | INFO | academy_scraper | found category Men's Fishing Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing Pants
2026-02-17 00:54:13,718 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-pants
2026-02-17 00:54:14,180 | INFO | academy_scraper | found category Men's Fishing Jackets with breadcrumb Academy > Outdoors > Fishing Gear + Equipment > Fishing Clothing > Fishing Rain Gear + Jackets > Men's Fishing Jackets
2026-02-17 00:54:14,180 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/outdoors/fishing/fishing-shoes-clothing/fishing-jackets-vests/mens-fishing-jackets-vests
2026-02-17 00:54:14,731 | INFO | academy_scraper | found category Men's Fishing T-Shirts  with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing T-Shirts 
2026-02-17 00:54:14,731 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-graphic
2026-02-17 00:54:16,248 | INFO | academy_scraper | found category Men's Compression Shirts + Tops with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Compression Shirts + Tops
2026-02-17 00:54:16,248 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-compression-tops
2026-02-17 00:54:17,208 | INFO | academy_scraper | found category Men's Compression Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Compression > Men's Compression Pants
2026-02-17 00:54:17,209 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-compression-shop/mens-compression-pants
2026-02-17 00:54:17,664 | INFO | academy_scraper | found category Men's Compression Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Compression > Men's Compression Shorts
2026-02-17 00:54:17,664 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-compression-shop/mens-compression-shorts
2026-02-17 00:54:20,025 | INFO | academy_scraper | found category Flame Resistant Clothing for Men with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Flame Resistant Clothing for Men
2026-02-17 00:54:20,026 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/flame-resistant-clothing
2026-02-17 00:54:20,450 | INFO | academy_scraper | found category Men's Work Shirts with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Men's Work Shirts
2026-02-17 00:54:20,450 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/work-shirts
2026-02-17 00:54:21,042 | INFO | academy_scraper | found category Men's Work Jackets with breadcrumb Academy > Men's > Men's Clothing > Men's Winter Clothing > Men's Jackets + Outerwear > Men's Work Jackets
2026-02-17 00:54:21,042 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-cold-weather-clothing/mens-jackets--outerwear/mens-work-service-jackets
2026-02-17 00:54:21,289 | INFO | academy_scraper | found category Men's Work Hoodies + Sweatshirts with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Men's Work Hoodies + Sweatshirts
2026-02-17 00:54:21,289 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/work-hoodies-sweatshirts
2026-02-17 00:54:21,784 | INFO | academy_scraper | found category Men's Work Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Men's Work Pants
2026-02-17 00:54:21,784 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/work-pants
2026-02-17 00:54:22,270 | INFO | academy_scraper | found category Men's High Visibility Clothing with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Men's High Visibility Clothing
2026-02-17 00:54:22,270 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/high-visibility-clothing
2026-02-17 00:54:22,985 | INFO | academy_scraper | found category Men's Scrubs with breadcrumb Academy > Men's > Men's Clothing > Men's Workwear Clothing > Men's Scrubs
2026-02-17 00:54:22,986 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/workwear/scrubs
2026-02-17 00:54:23,166 | INFO | academy_scraper | found category Men's Waders, Bibs, + Coveralls with breadcrumb Academy > Men's > Men's Clothing > Men's Waders, Bibs, + Coveralls
2026-02-17 00:54:23,166 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/bibs-coveralls
2026-02-17 00:54:24,932 | INFO | academy_scraper | found category Men's Gym Clothes with breadcrumb Academy > Men's > Men's Clothing > Men's Workout Clothing > Men's Gym Clothes
2026-02-17 00:54:24,932 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-workout-clothing--1/mens-training-clothes
2026-02-17 00:54:25,358 | INFO | academy_scraper | found category Men's Running Clothing with breadcrumb Academy > Men's > Men's Clothing > Men's Workout Clothing > Men's Running Clothing
2026-02-17 00:54:25,358 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-workout-clothing--1/mens--1
2026-02-17 00:54:26,362 | INFO | academy_scraper | found category Men's Compression Shirts + Tops with breadcrumb Academy > Men's > Men's Clothing > Men's Shirts  > Men's Compression Shirts + Tops
2026-02-17 00:54:26,363 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shirts--t-shirts/mens-compression-tops
2026-02-17 00:54:26,715 | INFO | academy_scraper | found category Men's Compression Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Compression > Men's Compression Pants
2026-02-17 00:54:26,715 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-compression-shop/mens-compression-pants
2026-02-17 00:54:27,309 | INFO | academy_scraper | found category Men's Compression Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Compression > Men's Compression Shorts
2026-02-17 00:54:27,310 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-compression-shop/mens-compression-shorts
2026-02-17 00:54:28,422 | INFO | academy_scraper | found category Men's Basketball Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's Basketball Shorts
2026-02-17 00:54:28,422 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-basketball-shorts
2026-02-17 00:54:28,925 | INFO | academy_scraper | found category Men's Fishing Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing Shorts
2026-02-17 00:54:28,925 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-shorts-
